"id","id_ex","siret","rup_mi","gestion","date_creat","date_decla","date_publi","date_disso","groupement","objet","adrs_libvoie","adrs_codepostal","adrs_libcommune","siteweb","position","objet_cat","objet_list","nom","annee_creat","membres","benefices"
"W031001544","0031000949","","","031S","1949-05-03","2001-03-08","1949-05-15","0001-01-01","S","organisation de fêtes, d'expositions, de manifestations sportives, culturelles ou artistiques","Mairie","03350","Cérilly","","A","007","['007000', '009000']","CERILLY LOISIRS ANIMATIONS","1949",30,28678
"W033001128","0033007161","","","033S","2001-05-23","2001-05-23","2001-06-23","0001-01-01","S","Organisation de voyages, de marches et toutes activites de loisirs.","34   RTE de saint pourcain","03110","Charmeil","","A","007","['007080', '000000']","AMICALE NICOLE BARNABE","2001",188,16699
"W033000570","0033006964","","","033S","1999-12-16","2008-07-21","2000-01-15","2008-06-26","S","Créer des postes de travail destinés à des personnes en difficultés adressées par les prescripteurs à l'association.","23   RUE de Romainville","03300","Cusset","","D","030","['030010', '030050']","RECYPAL","1999",6,25567
"W033002653","","","","033S","2008-07-23","2008-07-23","2008-08-02","0001-01-01","S","organiser de manifestations conforme à la réglementation en vigueur afin d'aider l'Association Sportive Chassenard/Luneau","mairie   Le Bourg","03130","Luneau","","A","011","['011075', '000000']","AMICALE DU FOOT DE LUNEAU","2008",71,28922
"W033001586","0033006656","","","033S","1997-06-02","2015-11-16","1997-07-05","0001-01-01","S","organiser des manifestations telles que fêtes, bals, loto, jeux divers, manifestations culturelles, expositions artisanales ou artistiques,etc...animation de la commune en général","  MAIRIE","03120","Servilly","","A","002","['002010', '014000']","SERVILLY ANIMATION","1997",171,5541
"W032002746","1789","","","032P","1970-11-03","2012-12-13","1970-11-19","2012-11-30","S","parent d'éleves","mairie","03460","Villeneuve-sur-Allier","","D","015","['015065', '000000']","ASSOCIATION LAIQUE DES PARENTS D'E...","1970",14,11704
"W033001313","0033000395","","","033S","1927-12-18","2015-07-29","1928-01-15","0001-01-01","S","Pratique du football","  MAIRIE","03270","Saint-Yorre","","A","011","['011075', '011075']","STADE SAINT-YORRAIS","1927",125,1085
"W033002165","0033001956","","","033S","1959-10-21","2021-11-08","1959-11-11","0001-01-01","S","Servir un repas chaud aux enfants de l'école publique de Luneau dans un local spécialement aménagé à cet effet.","MAIRIE","03130","Luneau","","A","022","['022510', '022510']","CANTINE SCOLAIRE DE LUNEAU","1959",100,3805
"W032007148","","","","032P","2023-02-26","2023-02-26","2023-03-07","0001-01-01","S","secourir les enfants et adolescents orphelins et particulièrement ceux de l'association hondurienne «associacion comunión para los niños huerfanos»","15 CHEM1 des Petites Roches","03000","Avermes","https://www.lesorphelinsdelimon.org/","A","020","['020020', '000000']","LORPHLI","2023",121,28263
"W033002743","","","","033S","2009-01-15","2009-01-15","2009-01-24","0001-01-01","S","pratique hebdomadaire du théâtre de façon amicale et l'organisation de quelques représentations annuelles","18 RUE Marx Dormoy","03300","Cusset","","A","006","['006070', '000000']","L'ALTHEATRE","2009",70,12504
"W032003278","0032004184","","","032P","1996-04-15","2016-06-03","1996-05-01","2016-06-01","S","promouvoir les idees les pratiques d'echanges reciproques de savoirs entre les personnes en lien avec les reseaux existants et le mouvement des reseaux d'echanges de savoir","","03160","Franchesse","","D","014","['014000', '000000']","RESEAU D'ECHANGES RECIPROQUES DE S...","1996",98,16623
"W033004046","","","","033S","2018-01-18","2018-01-18","2018-01-27","0001-01-01","S","le développement d'une solution logicielle de gestion de l'entreprise distribuée sous licence gnu","chez Auto Pieces Cusset 13 RUE des Boulaires","03300","Cusset","","A","023","['023040', '000000']","LAURUX","2018",180,12209
"W033004121","","","","033S","2018-08-13","2023-06-18","2018-08-25","0001-01-01","S","préserver la forêt des colettes contre tout projet éolien ou tout autre projet qui nuirait à sa biodiversité et à son écosystème","Mairie 1 PL de l Ecole","03330","Coutansouze","","A","024","['024020', '000000']","PRÉSERVONS LA FORÊT DES COLETTES","2018",135,2951
"W033007699","","","","033S","2023-03-21","2023-03-21","2023-03-28","0001-01-01","S","le développement des liens culturels des kurdes et autres communautés ; le développement de toutes natures","3 RUE Voltaire","03200","Vichy","","A","006","['006000', '014040']","ASSOCIATION CULTURELLE POUR L'INSER...","2023",87,15943
"W031000283","0031005126","","","031S","2005-07-26","2006-10-11","2005-09-03","0001-01-01","U","Coordonner et développer dans tous les secteurs, la défense des intérêts économiques, sociaux et moraux des retraités"," ","03100","Montluçon","","A","014","['014000', '023002']","UNION DEPARTEMENTALE DES RETRAITES ...","2005",155,20865
"W031006608","0031004655","","","031S","2001-07-17","2022-03-29","2001-08-25","0001-01-01","S","organisation de chasse a tir et a courre ; organisation de rencontres conviviales de chasseurs","","03350","Le    Brethon","","A","007","['007000', '013005']","ASSOCIATION DE CHASSE 'VAUTRAIT BO...","2001",120,26063
"W033003092","0033003911","","","033S","1982-03-19","2011-05-19","1982-04-25","0001-01-01","S","organisation et animation des loisirs de la collectivite","","03120","Châtelus","","A","007","['007000', '000000']","COMITE DES FETES DE CHATELUS","1982",47,26110
"W032000574","","","","032P","2006-08-01","2006-08-01","2006-08-26","0001-01-01","S","Concrétisation (réalisation et production) de projets musicaux.","Chez M. Adel AMZAD   Les Airelles, n° 69","03000","Moulins","","A","006","['006100', '000000']","CORZEAMUZIK","2006",194,3860
"W032000349","0032001520","","","032P","1965-01-14","2021-11-16","1965-02-06","0001-01-01","S","Foyer","MAIRIE 8   RUE MIRAMBELLE","03140","Chantelle","","A","009","['009000', '000000']","FOYER CULTUREL LAIC","1965",70,14518
"W033000525","0033003661","","","033S","1980-01-29","2022-02-14","1980-02-09","0001-01-01","S","Creer, animer, developper les rencontres et les liens d'amitie entre les personnes agees","  SALLE DES FETES","03220","Saint-Léon","","A","009","['009040', '009040']","CLUB DU 3EME AGE LES BLES D'OR","1980",184,1039
"W032000819","0032004795","","","032P","2000-11-21","2022-09-05","2000-12-16","0001-01-01","S","Favoriser le développement et le contrôle de la pratique des activités physiques et sportives non compétitives ou du temps libre assimilé...","Mairie","03000","Neuvy","","A","011","['011005', '007000']","R.S.N.E.","2000",71,20353
"W031000093","0031000714",40263315000022.0,"","031S","1945-12-31","2022-12-09","1946-01-24","0001-01-01","S","Developpement de la pratique du sport en devenant club omnisports"," ","03100","Montluçon","","A","011","['011000', '011070']","BLANZAT SPORT MONTLUCON","1945",187,4100
"W033000172","0033005836","","","033S","1993-04-21","2023-02-23","1993-05-12","0001-01-01","S","Organiser la defense des interets des residants, sur toutes les questions concernant le probleme de l'habitat et de l'urbanisme.","le briandet 4 12   RUE du golf","03700","Bellerive-sur-Allier","","A","032","['032520', '000000']","AMICALE DES LOCATAIRES CGL DU GOLF","1993",12,21323
"W033007392","","","","033S","2020-10-07","2020-10-07","2020-10-17","0001-01-01","S","favoriser les échanges à travers un lieu ouvert au partage des richesses et des connaissances, à l'économie circulaire, au recyclage, à l'écologie, la protection de l'environnement et la culture","1 RTE de Laléger","03330","Bellenaves","","A","002","['002015', '000000']","PICUS RECYCLE ET PLUS","2020",155,16281
"W031002930","0031002094","","","031S","1975-04-09","2016-08-03","1975-05-08","0001-01-01","S","développer la pratique du sport et susciter des liens d'amitié entre ses membres","Comité d'Etablissement SOCOPA RTE de Cosne","03430","Villefranche-d'Allier","","A","011","['011015', '000000']","CLUB SPORTIF FRANVIL","1975",152,18723
"W033001776","0033000665","","","033S","1936-11-03","2018-05-16","0001-01-01","0001-01-01","S","Organisation de toutes manifestations conformement aux dispositions en vigueur."," ","03220","Chavroches","","A","009","['009030', '000000']","COMITE DES FETES DE CHAVROCHES","1936",159,1810
"W033004132","","","","033S","2018-09-07","2018-09-07","2018-09-22","0001-01-01","S","accueillir des enfants dans une maison d'assistants maternels","RTE d'Espinasse","03110","Cognat-Lyonne","","A","021","['021005', '000000']","MLBC","2018",94,26585
"W031001221","","","","031S","2008-10-31","2008-10-31","2009-01-31","0001-01-01","S","réunir des personnes partageant dans le même esprit de tribu la volonté de faire des sorties, balades, rencontres, manifestations de toutes sortes, sportives ou non, motorisées ou non","Mairie 1 RUE victor hugo","03390","Montmarault","","A","007","['007080', '000000']","WOLF'KAN TRIBE SPIRIT","2008",32,8179
"W031002308","","","","033S","2011-11-25","2017-02-16","2011-12-10","0001-01-01","S","organiser les loisirs du personnel de la coopérative","","03330","Bellenaves","","A","014","['014030', '000000']","VAL'LIMAGNE.COOP","2011",184,12888
"W033002701","0033002582","","","033S","1968-11-25","2010-01-21","1968-12-21","0001-01-01","S","propager et défendre l'idéal laïque dépouillé de toute ingerence politique","Collège Jules Verne","03250","Le    Mayet-de-Montagne","","A","015","['015005', '000000']","APEL DU COLLEGE JULES VERNE","1968",64,11167
"W033002955","0033002638","","","033S","1969-07-03","2016-11-02","0001-01-01","0001-01-01","S","soutenir et entraider les malades, les vieillards, les sinistres et les familles des donneurs de sang : organiser des loisirs.","Mairie","03130","Le    Bouchaud","","A","020","['020000', '017065']","AMICALE DES DONNEURS DE SANG BENEVO...","1969",79,10667
"W032000972","0032004615","","","032P","1999-06-30","2007-04-23","1999-07-17","0001-01-01","S","Groupement d'employeurs","","03000","Bressolles","","A","014","['014000', '000000']","GROUPEMENT D'EMPLOYEURS DES RACINES","1999",162,8227
"W033001958","0033006314","","","033S","1995-08-07","1995-08-08","0001-01-01","0001-01-01","S","Accueillir et aider les personnes d2sireuses d4ameliorer leur qualite de vie par differents canaux educatifs, culturels, artistiques..."," ","03800","Gannat","","A","006","['006000', '006000']","REGARD ET LUMIERE","1995",71,24125
"W033002425","0033003265",40301041600028.0,"","033S","1976-07-02","2021-01-28","1976-07-20","0001-01-01","S","Pratique de l'éducation physique et des sports.","Hotel de Ville BD de l'Hôtel de Ville","03120","Lapalisse","www.facebook.com/rcl.lapalisse","A","011","['011080', '000000']","RUGBY-CLUB LAPALISSOIS","1976",186,27937
"W031002188","0031003520","","","033S","1991-09-09","2019-05-27","1991-10-02","2019-06-01","S","animer le village trois jours par semaine (mercredi,samedi et dimanche) et surtout donner une occupation sportive aux jeunes, actifs et retraites, et les maintenir dans le village","RUE de l'Eglise","03330","Naves","","D","011","['011035', '000000']","LA PETANQUE NAVOISE","1991",44,6260
"W032002153","0032003480","","","032P","1991-02-14","2019-11-04","1991-03-06","0001-01-01","S","cultiver la science de l'esprit fonde par rudolf steiner; favoriser l'accès au fonds anthroposophique à toute personne qui le désire","Mairie PL de l'hôtel de ville","03160","Bourbon-l'Archambault","","A","016","['016080', '000000']","BRANCHE BERNARD DE CLAIRVAUX","1991",160,3667
"W033007667","","","","033S","2023-01-16","2023-01-16","2023-01-24","0001-01-01","S","promouvoir les arts en général par des manifestations","13 RUE Desbrest","03200","Vichy","","A","006","['006100', '000000']","MARCHE DES ARTS VICHY","2023",148,19009
"W032006700","","","","032P","2019-01-11","2019-01-11","2019-01-19","0001-01-01","S","soutenir et accompagner la pratique musicale et toutes les activités pouvant y être rattachées","13 RUE Pape-Carpantier","03000","Moulins","","A","006","['006030', '000000']","FEELING 03","2019",86,21643
"W031001941","0031002450","","","031S","1979-12-26","2023-02-10","1980-01-10","0001-01-01","S","pratique du tennis","Mairie","03420","Marcillat-en-Combraille","","A","011","['011165', '000000']","TENNIS CLUB DE MARCILLAT","1979",17,10721
"W032000244","0032005441","","","032P","2005-07-19","2021-07-14","1901-07-01","2021-06-29","S","Rassembler tous les médecins généralistes exerçant ou ayant exercé ehn hôpital local, promouvoir et sauvegarder la place du médecin généraliste exerçant en hôpital local...","Hopital Local Coeur du Bourbonnais 43   RUE des Fossés","03500","Saint-Pourçain-sur-Sioule","","D","017","['017000', '000000']","ASSOC NATMEDECINS GENER HOPITAUX LOC.","2005",85,14521
"W033000359","0033007075","","","033S","2000-10-11","2009-02-18","2000-11-04","2009-02-17","S","Permettre la participation de benevoles a l'amelioration du confort des residents de la maison de retraite pierre masseboeuf de bellerive/allier","Maison de Retraite Pierre Masseboeuf   CHEM1 des Tribles","03700","Bellerive-sur-Allier","","D","021","['021020', '019000']","HARMONIE","2000",107,24555
"W032003292","0032002987",48237855100014.0,"","032P","1986-10-23","2023-04-27","1986-11-05","0001-01-01","S","organiser et developper des activites dans le domaine social, culturel, sportif et de loisirs au benefice des agents en activite ou en retraite du ministere","D.D.T. 03 51 BD","03400","Yzeure","","A","023","['023000', '000000']","A.S.M.A.","1986",150,11684
"W031002377","","","","031S","2012-04-17","2012-04-17","2012-04-28","0001-01-01","S","permettre de développer et d'équilibrer harmonieusement le visage et le corps","33 RUE des Pensées","03100","Montluçon","","A","017","['017000', '000000']","ENERGIA VITALIS","2012",39,15585
"W031001227","0031004866",83281921300014.0,"","031S","2003-04-18","2018-11-19","2003-05-31","0001-01-01","S","Favoriser les échanges et la qualité de vie des adhérents","56 RTE de Vaux","03410","Saint-Victor","","A","014","['014000', '030005']","ASS. RIVERAINS ET AMIS DE PERREGUINES","2003",78,28070
"W031000131","0031002798",77621755600096.0,"","031S","1969-06-03","2014-02-26","1984-06-22","0001-01-01","F","Apporter une aide technique, culturelle et administrative aux maisons de jeunes et assurer une liaison permanente entre elles","8   RUE du Général Mairal","03100","Montluçon","","A","009","['009000', '009005']","FEDERATION REGIONALE DES MAISONS DE...","1969",39,3936
"W033003167","","","","033S","2012-01-09","2012-01-09","2012-01-21","0001-01-01","S","pratiquer les arts martiaux et la culture asiatique","32 RUE de Moulins","03260","Saint-Germain-des-Fossés","","A","011","['011000', '011150']","ASSOCIATION WING CHUN","2012",160,28108
"W033002227","0033002500","","","033S","1967-11-02","2023-01-18","1967-11-23","0001-01-01","S","Soutenir et entraider les familles de donneurs de sang, les malades, les vieillards, les sinistres","SALLE DE REUNIONS MAIRIE","03130","Saint-Léger-sur-Vouzance","","A","017","['017065', '017000']","AMICALE DES DONNEURS DE SANG BENEVO...","1967",65,12093
"W033003238","","","","033S","2012-08-13","2012-08-13","2012-08-25","0001-01-01","S","créer, animer, organiser toutes manifestations sous quelques formes que ce soit en faveur des pays d'Afrique","28 RUE Curie","03700","Bellerive-sur-Allier","","A","020","['020000', '020000']","COEUR D'AFRIQUE","2012",183,7704
"W031000618","0031005176",49497267200013.0,"","031S","2005-12-13","2011-12-12","2006-01-14","0001-01-01","S","organiser la pratique mixte du volley-ball en loisir.","","03350","Cérilly","","A","011","['011000', '011065']","VOLLEY-BALL CLUB CERILLOIS","2005",142,13539
"W031002340","","","","031S","2012-02-01","2012-02-01","2012-02-11","0001-01-01","S","la restauration du patrimoine industriel du 20ème siècle","90 RUE des Ecoles","03600","Commentry","","A","010","['010022', '000000']","AUTO MOTO RETRO COMMENTRYEN","2012",83,26659
"W033002757","0033003761","","","033S","1980-11-21","2023-03-20","1980-12-09","0001-01-01","S","Promouvoir et animer les festivités locales","Mairie Le Bourg","03130","Liernolles","","A","009","['009030', '000000']","COMITE DES FETES","1980",43,2182
"W032000211","0032004781","","","032P","2000-10-17","2019-12-18","2000-11-11","2019-11-23","S","Sport auto courses de poursuite","mairie   COUR2 Geneviève Huillier","03210","Souvigny","","D","011","['011160', '000000']","BOURBONNAIS SPORT AUTO 03","2000",147,6355
"W033002954","","","","033S","2010-05-06","2012-06-28","2010-06-05","2012-05-01","S","pratique de tous travaux d'aiguilles, tricot, crochet, couture, points comptés","","03120","Le  Breuil","","D","007","['007080', '000000']","LA PASSION DU FIL ET DES AIGUILLES","2010",168,5916
"W033000266","0033007603","","","033S","2003-10-06","2004-11-03","2004-11-27","0001-01-01","S","Pratique du tennis. Organisation de tournois.","  IMP des Turiers","03300","Creuzier-le-Neuf","","A","011","['011165', '000000']","A.S. TURIERS-TENNIS-TOUNOIS","2003",15,10258
"W032007114","","","","032P","2022-11-07","2022-11-07","2022-11-15","0001-01-01","S","fédérer les étudiants d'un même établissement","Ifi 03 - Bde 11 RTE de Paris","03000","Avermes","","A","015","['015065', '000000']","BDE","2022",119,6138
"W032003340","","","","032P","2016-10-28","2016-10-28","2016-11-26","0001-01-01","S","fédérer les étudiants de l'ESPE Moulins-Clermont-Auvergne ; mettre en place des partenariats avec d'autres établissements scolaires","Bureau B9 - ESPE Moulins 28 RUE des Geais","03000","Moulins","","A","015","['015065', '000000']","LES PPIB","2016",171,8125
"W033002124","0033003479","","","033S","1978-04-14","2006-10-26","1978-04-29","0001-01-01","S","Pratique du tennis et de l'education physique","MAIRIE","03260","Billy","","A","011","['011165', '011000']","TENNIS CLUB BILLYSSOIS","1978",43,24458
"W033007566","","","","033S","2022-03-22","2022-06-29","2022-03-29","0001-01-01","S","enseigner, entraîner, promouvoir et développer le rugby à 7 en fauteuil","Espace du Parc CTRE Omnisport","03206","Vichy Cedex","","A","011","['011018', '011080']","AVR","2022",51,14755
"W032002477","0032003503","","","032P","1991-05-03","2011-03-02","1991-05-29","2011-02-23","S","vulgariser la pratique du vtt","","03290","Dompierre-sur-Besbre","","D","011","['011000', '000000']","V.T.T. EVASION","1991",62,25903
"W031003221","","","","031S","2018-02-05","2018-02-05","2018-02-17","0001-01-01","S","réunir un groupe de personnes afin de partager des expériences, d'entretenir des relations, de favoriser des rencontres humaines autour d'activités de loisirs, de sport, de voyages et de bricolage","25 RUE de Beau Rivage","03100","Lavault-Sainte-Anne","","A","006","['006090', '000000']","TOMUACH","2018",184,6164
"W031001096","0310003372","","","031S","1990-01-22","2021-01-11","1990-02-21","0001-01-01","S","apporter une aide aux défavorisés en France et dans le monde suivant les statuts du S.P.F;","3 RUE du 1er Mai Espace ""arc en ciel""","03600","Commentry","","A","020","['020010', '000000']","SECOURS POPULAIRE FRANCAIS COMITE D...","1990",102,5286
"W032002515","0032001500","","","032P","1964-05-26","2011-06-01","0001-01-01","2011-05-31","S","pratique du football","","03210","Besson","","D","011","['011075', '000000']","BALLON BESSONNAIS","1964",60,24213
"W032000502","0032004737","","","032P","2000-05-24","2020-10-26","2000-06-17","0001-01-01","S","Association culturelles comprenant 4 activités: théâtre, chant, danse et jeux ""pyramide""","mairie  ","03460","Trévol","","A","007","['007000', '000000']","ASTRE 2000","2000",180,2631
"W032001565","0032003001","","","032P","1986-11-17","2005-12-01","1986-12-03","0001-01-01","S","Organiser developper en prolongement de l'education physique et sportive donnee pendant les heures de scolarite a l'initiation et la pratique sportives","","03000","Neuvy","","A","011","['011010', '000000']","ASSOCIATION SPORTIVE DU LEP AGRICOL...","1986",120,2207
"W031002231","0031004497","","","031S","2000-03-21","2001-10-23","2000-04-15","0001-01-01","S","actions humanitaires dans le but de nourrir et scolariser les enfants francophones du tiers monde","36 RUE Lucas de Nehou","03100","Montluçon","","A","020","['020020', '000000']","PLANETE HARMONIE","2000",143,10554
"W031002471","","","","031S","2013-01-31","2022-02-02","2013-02-16","0001-01-01","S","découverte et progression entre ses membres de l'art du dessin, de l'aquarelle et de l'acrylique","20 RUE de Blanzat","03100","Montluçon","","A","006","['006020', '000000']","LES TUBES DE COULEUR","2013",113,2181
"W033002160","0033004636","","","033S","1986-10-29","2022-09-06","1986-11-12","0001-01-01","S","Permettre de pratiquer des activites telles que bridge, echec, scrabble, sorties champetres, repas amicaux","Maison des Associations PL de l'Hôtel de Ville","03200","Vichy","","A","007","['007000', '000000']","BRIDGE CLUB VICHYSSOIS","1986",7,18403
"W031002187","0031001781","","","031S","1969-06-25","2011-04-22","1969-07-26","0001-01-01","S","défense des droits des anciens combattants de la résistance et aide aux résistants nécessiteux","Mairie","03410","Domérat","","A","038","['038105', '000000']","COMITE DE L'ASSOCIATION NATIONALE DES","1969",59,13247
